Fe: Grain Size (1E-6 m),Fe:Yield Stress (MPa),Ag: Grain Size (1E-6 m),Ag:Yield Stress (MPa),Cu: Grain Size (1E-6 m),Cu:Yield Stress (MPa),Ni: Grain Size (1E-6 m),Ni:Yield Stress (MPa),V: Grain size,V:  Yield Stress,Al: Grain size,Al: Yield,Ti: Grain size,Ti: Yield
457,75,58,38,240,29,463,50,735,328,2029,17,0.71,464
467,70,39,45,320,30,360,54,347,334,1047,15,0.51,476
260,84,25,51,50,33,302,56,22,395,344,18,0.4,537
244,82,22,63,50,34,95,66,15,410,244,20,0.3,632
170,89,17,65,57,32,43,84,0.69,356,186,20,210,259
179,85,15,62,39,32,35,96,2,422,104,17,94,297
34,152,10,70,46,38,240,57,1.95,443,75,19,72,308
32,157,8.6,84,26,51,23,100,1.61,473,54,19,35,319
31,160,6.4,105,30,38,21,94,1.56,510,46,23,18,331
30,163,5.6,133,32,38,10,129,1.25,525,41,21,7,389
29,162,2.9,111,33,38,112,51,1.19,532,17,24,40,170
28,166,2.9,121,32,41,44,91,1.19,552,14,25,3.4,228
181,115,2.6,130,174,27,25,108,1.26,555,12,30,2,249
156,104,2.6,136,43,35,25,129,1.07,554,575,12,1.1,291
123,115,2.6,161,16,50,2.4,224,1.07,531,483,12,10,154
100,129,1.6,119,6,76,0.38,563,0.93,595,483,11,60,152
78,126,1.6,163,3,99,0.29,648,0.59,713,347,13,100,130
66,138,1.4,148,8,74,0.23,685,0.55,753,325,14,227,107
44,152,1.4,185,0.13,430,0.21,735,0.56,749,269,13,22,153
33,170,1.1,172,0.09,480,131,30,124,183,269,13,5,203
27,183,1.2,210,55,38,87,34,25,211,245,12,2,259
26,183,,,40,43,24,62,3.3,250,229,13,1,326
24,183,,,21,48,10,78,1.7,279,221,14,,
16,218,,,16,52,0.33,387,1.2,365,193,14,,
16,223,,,10,60,0.33,495,1,382,184,13,,
15,223,,,,,0.34,603,0.7,451,173,15,,
701,108,,,,,0.094,821,0.5,508,130,16,,
459,107,,,,,0.098,883,0.23,643,132,14,,
445,110,,,,,0.085,893,0.14,769,121,15,,
246,119,,,,,0.072,871,12.7,284,111,16,,
247,122,,,,,0.037,1014,15.1,268,103,17,,
220,117,,,,,0.053,997,15.9,273,100,15,,
133,132,,,,,0.037,1157,16.1,272,73,16,,
106,135,,,,,0.042,1198,16.7,271,58,18,,
94,145,,,,,0.037,1221,17.5,234,49,19,,
90,144,,,,,0.034,1116,20.3,262,48,18,,
83,144,,,,,0.066,895,29.5,248,37,21,,
59,158,,,,,25,46,38.5,243,1246,6,,
42,173,,,,,55,27,50,233,975,6,,
42,176,,,,,75,24,167,214,947,7,,
36,185,,,,,125,18,366,210,550,9,,
34,185,,,,,,,171,137,592,7,,
32,185,,,,,,,106,149,294,7,,
30,190,,,,,,,103,143,250,9,,
30,192,,,,,,,61,158,223,8,,
24,205,,,,,,,61,168,205,10,,
21,213,,,,,,,40,167,189,11,,
21,215,,,,,,,26,181,177,11,,
17,231,,,,,,,26,187,156,10,,
17,235,,,,,,,,,139,10,,
16,237,,,,,,,,,142,8,,
96,107,,,,,,,,,132,8,,
66,134,,,,,,,,,104,9,,
43,161,,,,,,,,,48,11,,
11,250,,,,,,,,,34,14,,
6,341,,,,,,,,,441,18,,
402,51,,,,,,,,,250,17,,
422,53,,,,,,,,,186,18,,
383,55,,,,,,,,,123,17,,
140,77,,,,,,,,,82,18,,
120,79,,,,,,,,,41,23,,
128,82,,,,,,,,,35,19,,
21,105,,,,,,,,,16,25,,
19,104,,,,,,,,,14,22,,
25,139,,,,,,,,,12,25,,
200,61,,,,,,,,,8.4,26,,
2000,39,,,,,,,,,7.6,29,,
,,,,,,,,,,5.1,30,,
,,,,,,,,,,4.1,40,,
,,,,,,,,,,3.1,37,,
,,,,,,,,,,2,48,,
,,,,,,,,,,880,5,,
,,,,,,,,,,638,4,,
,,,,,,,,,,416,4,,
,,,,,,,,,,279,4,,
,,,,,,,,,,260,6,,
,,,,,,,,,,160,4,,
,,,,,,,,,,146,6,,
,,,,,,,,,,94,5,,
,,,,,,,,,,86,6,,
,,,,,,,,,,72,6,,
,,,,,,,,,,62,4,,
,,,,,,,,,,59,6,,
,,,,,,,,,,56,8,,
,,,,,,,,,,43,6,,
,,,,,,,,,,41,8,,
,,,,,,,,,,32,7,,
,,,,,,,,,,24,7,,
,,,,,,,,,,22,8,,
,,,,,,,,,,2.3,17,,
,,,,,,,,,,1.8,17,,
,,,,,,,,,,1.1,18,,
,,,,,,,,,,1.1,19,,
,,,,,,,,,,0.6,26,,
,,,,,,,,,,8.3,37,,
,,,,,,,,,,6.6,40,,
,,,,,,,,,,5.5,39,,
,,,,,,,,,,4.2,35,,
,,,,,,,,,,3.3,55,,
,,,,,,,,,,1.6,88,,
,,,,,,,,,,1.1,134,,
,,,,,,,,,,1,147,,
,,,,,,,,,,0.71,174,,
,,,,,,,,,,0.6,203,,
,,,,,,,,,,0.46,224,,
,,,,,,,,,,0.42,251,,
,,,,,,,,,,0.35,269,,
,,,,,,,,,,0.34,263,,
,,,,,,,,,,0.33,269,,
,,,,,,,,,,0.18,329,,
,,,,,,,,,,0.16,346,,
,,,,,,,,,,0.12,379,,
,,,,,,,,,,45,47,,
,,,,,,,,,,12,56,,
,,,,,,,,,,12,63,,
,,,,,,,,,,3.7,70,,
,,,,,,,,,,3.5,75,,
,,,,,,,,,,1.7,80,,
,,,,,,,,,,1.7,85,,
,,,,,,,,,,1.7,90,,
,,,,,,,,,,1,141,,
,,,,,,,,,,0.77,181,,
,,,,,,,,,,0.6,201,,
,,,,,,,,,,0.47,224,,
,,,,,,,,,,0.47,228,,
